"F [GHz]","dB(AxialRatioValue) [] - Phi='90.0000000000002deg' Theta='90.0000000000002deg'"
1.55,0.674096587130295
1.55166666666667,0.651482452880447
1.55333333333333,0.627347025685593
1.555,0.600681999104083
1.55666666666667,0.571484159779476
1.55833333333333,0.539694401612759
1.56,0.504334871633245
1.56166666666667,0.46693472115119
1.56333333333333,0.425681584457434
1.565,0.381402582071327
1.56666666666667,0.333947345655052
1.56833333333333,0.283639405472745
1.57,0.232098202577341
1.57166666666667,0.17901641085696
1.57333333333333,0.127692394235059
1.575,0.0845634876225097
1.57666666666667,0.0691297977378852
1.57833333333333,0.09518013444091
1.58,0.139409616830119
1.58166666666667,0.188309514511928
1.58333333333333,0.235818544830643
1.585,0.281258515814879
1.58666666666667,0.3243919725605
1.58833333333333,0.364503297583763
1.59,0.400438305180085
1.59166666666667,0.432767580180832
1.59333333333333,0.462744339736037
1.595,0.490102011422798
1.59666666666667,0.51396815056715
1.59833333333333,0.534437720200233
1.6,0.553769960669162
