"F [GHz]","dB(S(Port1,Port1)) []"
1.55,-24.3879685528298
1.55166666666667,-24.7482595577336
1.55333333333333,-25.0911244947801
1.555,-25.3820895548851
1.55666666666667,-25.5950917508909
1.55833333333333,-25.7144534045984
1.56,-25.7306655175625
1.56166666666667,-25.6471620735444
1.56333333333333,-25.4597369999587
1.565,-25.2130212185389
1.56666666666667,-24.9367905544915
1.56833333333333,-24.6574773530807
1.57,-24.4069321854093
1.57166666666667,-24.2083539506523
1.57333333333333,-24.0591275817675
1.575,-23.9590372627976
1.57666666666667,-23.9000876122929
1.57833333333333,-23.8619005901555
1.58,-23.8095124755257
1.58166666666667,-23.7564390040734
1.58333333333333,-23.6366684861917
1.585,-23.4615799465789
1.58666666666667,-23.2414630732167
1.58833333333333,-22.9881296464556
1.59,-22.7179869971719
1.59166666666667,-22.4299530893742
1.59333333333333,-22.1447275190205
1.595,-21.8775717026268
1.59666666666667,-21.6335974953633
1.59833333333333,-21.4132476706928
1.6,-21.2144555675223
