"Freq [GHz]","dB(S(p2,p1)) []","dB(S(p1,p2)) []"
1.45,-31.4477835438197,-31.4477835438197
1.452,-31.4658144841349,-31.4658144841349
1.454,-31.4850896447173,-31.4850896447173
1.456,-31.5056673955228,-31.5056673955228
1.458,-31.5276113381997,-31.5276113381997
1.46,-31.5509908234133,-31.5509908234133
1.462,-31.575881518858,-31.5758815188579
1.464,-31.6023660326016,-31.6023660326016
1.466,-31.6305345967146,-31.6305345967146
1.468,-31.6604858164096,-31.6604858164095
1.47,-31.6923274901661,-31.692327490166
1.472,-31.7261775065059,-31.7261775065059
1.474,-31.7621648231933,-31.7621648231933
1.476,-31.800430534639,-31.800430534639
1.478,-31.8411290331413,-31.8411290331413
1.48,-31.8844292692565,-31.8844292692565
1.482,-31.9305161159998,-31.9305161159998
1.484,-31.9795918406698,-31.9795918406698
1.486,-32.0318776867795,-32.0318776867794
1.488,-32.0876155667783,-32.0876155667782
1.49,-32.1470698638587,-32.1470698638587
1.492,-32.2105293380328,-32.2105293380327
1.494,-32.2783091277288,-32.2783091277287
1.496,-32.3507528332574,-32.3507528332573
1.498,-32.4282346625125,-32.4282346625124
1.5,-32.5111616120969,-32.5111616120969
1.502,-32.599975648627,-32.5999756486269
1.504,-32.6951558452414,-32.6951558452413
1.506,-32.7972204173963,-32.7972204173962
1.508,-32.9067285900193,-32.9067285900192
1.51,-33.0242822153607,-33.0242822153606
1.512,-33.1505270479093,-33.1505270479092
1.514,-33.2861535702502,-33.2861535702501
1.516,-33.4318972526939,-33.4318972526938
1.518,-33.5885381210597,-33.5885381210596
1.52,-33.7568995025223,-33.7568995025222
1.522,-33.9378458203659,-33.9378458203658
1.524,-34.1322793161844,-34.1322793161843
1.526,-34.3411355935358,-34.3411355935357
1.528,-34.5653779006181,-34.565377900618
1.53,-34.8059901004017,-34.8059901004016
1.532,-35.0639683124394,-35.0639683124393
1.534,-35.3403112468194,-35.3403112468193
1.536,-35.636009280468,-35.6360092804679
1.538,-35.952032339443,-35.952032339443
1.54,-36.2893166352805,-36.2893166352805
1.542,-36.6487502432661,-36.648750243266
1.544,-37.0311573875221,-37.0311573875221
1.546,-37.4372810915817,-37.4372810915817
1.548,-37.8677635412872,-37.8677635412872
1.55,-38.323123065448,-38.323123065448
1.552,-38.8037260437617,-38.8037260437617
1.554,-39.3097512770129,-39.3097512770129
1.556,-39.8411433836993,-39.8411433836993
1.558,-40.3975506217651,-40.3975506217651
1.56,-40.9782412246706,-40.9782412246706
1.562,-41.5819910461318,-41.5819910461319
1.564,-42.2069344031518,-42.2069344031518
1.566,-42.8503702697321,-42.8503702697322
1.568,-43.5085188572069,-43.508518857207
1.57,-44.1762315700535,-44.1762315700535
1.572,-44.8466739345874,-44.8466739345874
1.574,-45.5110304409957,-45.5110304409957
1.576,-46.1583242441143,-46.1583242441143
1.578,-46.775496955382,-46.775496955382
1.58,-47.3479302175241,-47.3479302175241
1.582,-47.8605638035761,-47.8605638035761
1.584,-48.2996193841453,-48.2996193841453
1.586,-48.6546666686426,-48.6546666686426
1.588,-48.9204775916991,-48.9204775916991
1.59,-49.0980186584719,-49.0980186584719
1.592,-49.1941862589165,-49.1941862589165
1.594,-49.2203941279707,-49.2203941279707
1.596,-49.1905553791716,-49.1905553791716
1.598,-49.1191078221587,-49.1191078221587
1.6,-49.0195283600625,-49.0195283600625
1.602,-48.9034769067119,-48.9034769067119
1.604,-48.7804843853491,-48.780484385349
1.606,-48.6580075885593,-48.6580075885592
1.608,-48.5416796009561,-48.541679600956
1.61,-48.4356317662903,-48.4356317662901
1.612,-48.3428136741606,-48.3428136741604
1.614,-48.2652756791138,-48.2652756791135
1.616,-48.204402078764,-48.2044020787636
1.618,-48.1610955969706,-48.1610955969701
1.62,-48.1359192981061,-48.1359192981056
1.622,-48.1292036373353,-48.1292036373348
1.624,-48.1411260365462,-48.1411260365456
1.626,-48.1717693014946,-48.1717693014939
1.628,-48.221163940117,-48.2211639401162
1.63,-48.2893182622362,-48.2893182622353
1.632,-48.3762391260366,-48.3762391260355
1.634,-48.4819453542346,-48.4819453542335
1.636,-48.6064751447162,-48.606475144715
1.638,-48.7498882051358,-48.7498882051345
1.64,-48.912262803283,-48.9122628032815
1.642,-49.0936873985978,-49.0936873985963
1.644,-49.294245957543,-49.2942459575413
1.646,-49.513995406711,-49.5139954067093
1.648,-49.7529328899536,-49.7529328899517
1.65,-50.0109495170395,-50.0109495170376
1.652,-50.2877660794473,-50.2877660794452
1.654,-50.5828447581164,-50.5828447581142
1.656,-50.8952692439563,-50.8952692439541
1.658,-51.2235842202088,-51.2235842202065
1.66,-51.5655844985065,-51.5655844985042
1.662,-51.9180456579008,-51.9180456578984
1.664,-52.2763943712979,-52.2763943712957
1.666,-52.6343318509785,-52.6343318509764
1.668,-52.9834535039766,-52.9834535039747
1.67,-53.3129566197641,-53.3129566197625
1.672,-53.6095930675581,-53.609593067557
1.674,-53.8580834604354,-53.8580834604348
1.676,-54.0422091785724,-54.0422091785724
1.678,-54.1466620396915,-54.1466620396923
1.68,-54.1594186718793,-54.1594186718808
1.682,-54.0740181961894,-54.0740181961917
1.684,-53.8909265748224,-53.8909265748254
1.686,-53.6174180865081,-53.6174180865115
1.688,-53.2660252380435,-53.2660252380473
1.69,-52.8521939217993,-52.8521939218034
1.692,-52.391955645492,-52.3919556454962
1.694,-51.9001845694077,-51.900184569412
1.696,-51.3896160594129,-51.3896160594171
1.698,-50.8705152090183,-50.8705152090224
1.7,-50.3507721379928,-50.3507721379968
1.702,-49.8362144290659,-49.8362144290696
1.704,-49.3309899709445,-49.330989970948
1.706,-48.8379369405051,-48.8379369405084
1.708,-48.3589034177201,-48.3589034177232
1.71,-47.8950062704661,-47.895006270469
1.712,-47.4468325390046,-47.4468325390072
1.714,-47.0145919569611,-47.0145919569636
1.716,-46.5982303544065,-46.5982303544088
1.718,-46.1975128588071,-46.1975128588091
1.72,-45.8120843095733,-45.8120843095752
1.722,-45.4415127395204,-45.4415127395221
1.724,-45.0853204003946,-45.0853204003961
1.726,-44.7430056903634,-44.7430056903648
1.728,-44.4140584706459,-44.4140584706471
1.73,-44.0979705989317,-44.0979705989328
1.732,-43.7942430158923,-43.7942430158932
1.734,-43.5023903587798,-43.5023903587807
1.736,-43.2219438106257,-43.2219438106264
1.738,-42.9524526997119,-42.9524526997125
1.74,-42.6934852227196,-42.69348522272
1.742,-42.4446285620653,-42.4446285620657
1.744,-42.2054885929974,-42.2054885929977
1.746,-41.9756893214098,-41.97568932141
1.748,-41.7548721535175,-41.7548721535175
1.75,-41.5426950694903,-41.5426950694903
