"Phi [deg]","dB(AxialRatioValue) [] - Freq='1.575GHz' Theta='90.0000000000002deg'"
-180,7.05423810700013
-178,7.43241548843583
-176,7.81107961588737
-174,8.19561434553016
-172,8.59550189100626
-170,9.02478009385701
-168,9.50154670655431
-166,10.0460378395949
-164,10.6771977410942
-162,11.4083506495936
-160,12.243182175939
-158,13.1732050888641
-156,14.1771239369447
-154,15.2215879422232
-152,16.2624517470586
-150,17.2460997241399
-148,18.1113353415218
-146,18.7932005864806
-144,19.2301139117657
-142,19.3742104760447
-140,19.2020269065649
-138,18.720858111741
-136,17.9678204565663
-134,17.0034071156785
-132,15.9053370367063
-130,14.7693752349589
-128,13.7231602910953
-126,12.9593111699648
-124,12.7940118923186
-122,13.7642220342414
-120,16.9426397543317
-118,27.1844932754859
-116,22.3343339946019
-114,13.8406198872599
-112,9.73289013672211
-110,7.14351257833031
-108,5.34312598755991
-106,4.02549987103329
-104,3.03176180816265
-102,2.26929464008733
-100,1.68014001507809
-98,1.22646243802988
-96,0.883080288740844
-94,0.63317657362484
-92,0.465060863308832
-90,0.3685278574358
-88,0.332899113017624
-86,0.3534309221704
-84,0.438845533733299
-82,0.604529300780266
-80,0.865192134132563
-78,1.23816583562502
-76,1.74909425200544
-74,2.43748885150126
-72,3.36528772932401
-70,4.63366864228252
-68,6.42061310452147
-66,9.0809783799478
-64,13.5097471271356
-62,23.9019667111194
-60,22.5499460269212
-58,14.8776824424528
-56,12.5817967232039
-54,12.3142807526608
-52,13.0290397908653
-50,14.1711152003605
-48,15.433208206334
-46,16.6339514500397
-44,17.6519835971179
-42,18.4001515834872
-40,18.8219963632706
-38,18.8960605509287
-36,18.6370953119127
-34,18.0892012995571
-32,17.3131763702863
-30,16.3739331553236
-28,15.3322125832963
-26,14.2412100963132
-24,13.1464072246407
-22,12.086453975058
-20,11.0935346792013
-18,10.1925539068681
-16,9.39941097910796
-14,8.71939111477814
-12,8.14694692348245
-10,7.66759661094292
-8,7.2615592993438
-6,6.90786256493175
-4,6.58761849431777
-2,6.28583047876246
0,5.99183437273532
2,5.69886003680708
4,5.40321361254696
6,5.10342091796367
8,4.79950020904503
10,4.49241422248983
12,4.18368990474641
14,3.87517118982966
16,3.56886750173422
18,3.26686642423566
20,2.97128687528062
22,2.68425632879282
24,2.40790115384096
26,2.14434280031164
28,1.89569439670737
30,1.66405226683793
32,1.45147443341889
34,1.25993229819104
36,1.09121135955669
38,0.946724379244521
40,0.827200023868477
42,0.732256675432957
44,0.659998044473046
46,0.606912130049285
48,0.568307800363019
50,0.539183818648841
52,0.515107735974961
54,0.49274198863629
56,0.469957717846204
58,0.445682378384822
60,0.419646232865117
62,0.392128982710301
64,0.363748092432159
66,0.335297221567287
68,0.307629719853227
70,0.281578480604965
72,0.2579035738394
74,0.237260279040169
76,0.22018148614293
78,0.207069871287422
80,0.198197011191747
82,0.193708589563831
84,0.19363616209751
86,0.197915365394439
88,0.206408160297882
90,0.218924886457751
92,0.235242501123754
94,0.255117765063452
96,0.278296239300581
98,0.304518659928306
100,0.333525934963623
102,0.365063447152255
104,0.398884988419715
106,0.434756557653734
108,0.472460342405137
110,0.511799397490952
112,0.552603780055192
114,0.594739160763901
116,0.638119147143792
118,0.682722638446133
120,0.728617357216695
122,0.775990119868963
124,0.825183267476059
126,0.876734891085812
128,0.931418133025495
130,0.990272318756233
132,1.05461679757926
134,1.12603835062744
136,1.2063460272462
138,1.29749358637237
140,1.40147790951252
142,1.52022864544877
144,1.65550651415676
146,1.80882374753704
148,1.98139196427092
150,2.17409440075524
152,2.38747440312497
154,2.62173157195645
156,2.87671970195391
158,3.15194442951672
160,3.44656145503631
162,3.75937759286116
164,4.08885701407379
166,4.43313482471389
168,4.79004070279304
170,5.15713770284814
172,5.5317861945494
174,5.91125043424197
176,6.29287498720591
178,6.67436839975911
180,7.05423810700013
