"Freq [GHz]","dB(AxialRatioValue) [] - Phi='90.0000000000002deg' Theta='90.0000000000002deg'"
1.55,16.8916212146579
1.55166666666667,16.0039988183461
1.55333333333333,15.0837652307928
1.555,14.1298131559224
1.55666666666667,13.1412245453494
1.55833333333333,12.1173545395494
1.56,11.057932409814
1.56166666666667,9.96317678228959
1.56333333333333,8.83392134057836
1.565,7.67174210505156
1.56666666666667,6.47907221046916
1.56833333333333,5.25928623433145
1.57,4.01673805832681
1.57166666666667,2.75675124568011
1.57333333333333,1.4857080327428
1.575,0.218924886457755
1.57666666666667,1.06987980741863
1.57833333333333,2.33468752383939
1.58,3.58515147877863
1.58166666666667,4.81474922094657
1.58333333333333,6.01837262859606
1.585,7.1919482052751
1.58666666666667,8.33240358462907
1.58833333333333,9.43760862706717
1.59,10.5062778530698
1.59166666666667,11.5378470229683
1.59333333333333,12.5323420895661
1.595,13.4902513438913
1.59666666666667,14.4124110064251
1.59833333333333,15.2999057036489
1.6,16.1539871966235
