"Theta [deg]","dB(GainLHCP) [] - Freq='1.575GHz' Phi='90.0000000000002deg'","dB(GainRHCP) [] - Freq='1.575GHz' Phi='90.0000000000002deg'"
-180,-12.8937010674981,-4.11508054289065
-178,-12.9504876877032,-4.53559564848563
-176,-13.0195211795312,-4.95914101879449
-174,-13.0839619239403,-5.38006609702862
-172,-13.1248998720253,-5.79149275838609
-170,-13.1233401253694,-6.1855543385032
-168,-13.0631843909838,-6.55387923677836
-166,-12.9345356532363,-6.88833703262174
-164,-12.7361444669542,-7.18199027851624
-162,-12.4759192135698,-7.43009953132854
-160,-12.1692732075637,-7.63095543378728
-158,-11.8361044179758,-7.78631257338246
-156,-11.4976438822803,-7.90129883136823
-154,-11.1740994626759,-7.9838347775271
-152,-10.8833979586903,-8.04374078843522
-150,-10.64085663554,-8.09176820294862
-148,-10.4594408933146,-8.13875505697441
-146,-10.3502945785861,-8.19501777670373
-144,-10.3233271276233,-8.27000012515274
-142,-10.3877227170711,-8.37214139219189
-140,-10.5522653519324,-8.5089022998399
-138,-10.8253299263286,-8.68688889886185
-136,-11.2142329690335,-8.91202855209401
-134,-11.7232736282861,-9.18976836043529
-132,-12.3490461192931,-9.52528033278661
-130,-13.0703012011888,-9.9236679103333
-128,-13.8285058268647,-10.3901755712914
-126,-14.4996436996427,-10.9304082342964
-124,-14.8830302821535,-11.5505711843246
-122,-14.7739205829252,-12.2577452870664
-120,-14.1211250112982,-13.0602172395042
-118,-13.0768776976494,-13.9678913255378
-116,-11.8600613464935,-14.9928181381176
-114,-10.6320857920293,-16.1498864331423
-112,-9.47836238893363,-17.4577320343804
-110,-8.43460933826632,-18.9399034723342
-108,-7.51130595528774,-20.6262190891357
-106,-6.70777537246766,-22.5538113860894
-104,-6.01908889322367,-24.7657087037738
-102,-5.43921421374046,-27.2988200186204
-100,-4.96237852349665,-30.1329295996037
-98,-4.58361829790577,-33.0276218665589
-96,-4.29897115408038,-35.2853039581017
-94,-4.10552009426677,-36.2913639215234
-92,-4.00138732478013,-36.6535301531062
-90,-3.98572312290123,-37.4545055957899
-88,-4.0587119270983,-39.6598821020843
-86,-4.22160778459872,-45.5906503130141
-84,-4.4768074523947,-52.1948316457284
-82,-4.8279682611167,-38.2916897577269
-80,-5.28017685118036,-32.3076544306257
-78,-5.8401707715722,-28.305086938237
-76,-6.51660048673007,-25.2632741141357
-74,-7.32027620984539,-22.8085067930565
-72,-8.26422326274696,-20.7591796022428
-70,-9.363038131971,-19.0120958925843
-68,-10.6301303272635,-17.5024414894362
-66,-12.0689983838239,-16.1865727544537
-64,-13.6487504584985,-15.0335497292335
-62,-15.2449469861646,-14.0205432356551
-60,-16.5468203260474,-13.1301493288109
-58,-17.0968839261547,-12.3487218083248
-56,-16.715056276453,-11.6652837055246
-54,-15.7413706297129,-11.0707850113301
-52,-14.6100367056676,-10.5575756593621
-50,-13.5573701572617,-10.1190159361829
-48,-12.665489192334,-9.74917550926104
-46,-11.9490331184055,-9.44258859531836
-44,-11.3995698451338,-9.19404217492065
-42,-11.0027337346933,-8.99837972634923
-40,-10.7440263672484,-8.85030668244482
-38,-10.6104101790237,-8.74418729496026
-36,-10.5903890638417,-8.67382746398929
-34,-10.6735367632416,-8.63224629086778
-32,-10.8497920715289,-8.61145279700464
-30,-11.1086065111636,-8.602265082173
-28,-11.4379587449978,-8.59423648747649
-26,-11.8232654307397,-8.57578073046299
-24,-12.2463142078232,-8.53459974612929
-22,-12.6845347116708,-8.45848896257029
-20,-13.1111830255544,-8.33650157761301
-18,-13.4971854663008,-8.16030053958725
-16,-13.8151177378872,-7.92537311910471
-14,-14.0447592888578,-7.63173051159353
-12,-14.1781943005751,-7.28383842071169
-10,-14.2218502797505,-6.88978768934923
-8,-14.1942686429068,-6.45997291603045
-6,-14.1208804945234,-6.00566108972152
-4,-14.0284043434333,-5.53777171866404
-2,-13.940851298671,-5.06603299159631
0,-13.8776516039005,-4.5985266672336
2,-13.8534028842779,-4.14154357976199
4,-13.8784890325452,-3.69964431194767
6,-13.959994791363,-3.27583182269225
8,-14.1025990073912,-2.87176984324818
10,-14.3093183325864,-2.48800741597966
12,-14.582075287128,-2.12418995630043
14,-14.9221069891847,-1.77924998400443
16,-15.3302411762999,-1.45157765973066
18,-15.8070619535794,-1.13917430344388
20,-16.3529778425892,-0.839792664588452
22,-16.9681927927756,-0.551066911075339
24,-17.6525679845666,-0.270633806387552
26,-18.4053490175419,0.00375517351408164
28,-19.2247211083595,0.274132621456422
30,-20.10714968601,0.542227909678194
32,-21.0464790709968,0.809397459650822
34,-22.0328263357688,1.07657609222827
36,-23.051467437451,1.34425215633853
38,-24.0822126584255,1.61246770646757
40,-25.1001662752289,1.88084318039949
42,-26.0789664278343,2.14862410346696
44,-26.9969907597707,2.4147456153686
46,-27.8451925471474,2.67790933982069
48,-28.6332039512747,2.93666646370547
50,-29.3904900612834,3.18950091035757
52,-30.1625067905869,3.43490711464381
54,-31.0052864314553,3.67145798168955
56,-31.9826855734737,3.89785993934197
58,-33.1693626543551,4.11299338148562
60,-34.6625509834812,4.31593808618267
62,-36.6106715178559,4.50598427409744
64,-39.287412739298,4.68263079820726
66,-43.3375203710354,4.84557251870629
68,-51.0586844710498,4.99467923869177
70,-54.4819853133125,5.1299686911886
72,-44.9607088711489,5.25157601318662
74,-40.5369637630635,5.35972195157131
76,-37.7978676507715,5.45468174948066
78,-35.9112724974139,5.53675628862867
80,-34.5584183984433,5.60624664370622
82,-33.5849849150725,5.66343277217965
84,-32.9058144494509,5.70855665199871
86,-32.4702841877593,5.74180982568538
88,-32.2473396880008,5.7633250419349
90,-32.2182716742525,5.77317152575358
92,-32.3729843136435,5.77135336284791
94,-32.7079556219432,5.75781054635406
96,-33.2248872565643,5.73242238274416
98,-33.929016816913,5.69501315585189
100,-34.8250601811834,5.64536016268334
102,-35.9055852878617,5.5832044183648
104,-37.1187937381403,5.50826443864599
106,-38.2928176207462,5.42025351193161
108,-39.0374993561184,5.31890074439105
110,-38.8769302575163,5.20397588985419
112,-37.7735180461455,5.07531756388987
114,-36.1758148711642,4.93286390657429
116,-34.4901373665574,4.77668413433044
118,-32.8993076888779,4.60700875817149
120,-31.453502552375,4.42425561422527
122,-30.1511262484639,4.2290483476721
124,-28.9741124451118,4.02222373581644
126,-27.9005199567156,3.80482437598882
128,-26.9086497961189,3.57807395033288
130,-25.978403334092,3.34333362854965
132,-25.0919423152479,3.10204020162467
134,-24.2343019489018,2.85562910830929
136,-23.3940340401383,2.60544825911951
138,-22.563715364735,2.35267091284428
140,-21.7401052349539,2.09821715467218
142,-20.9238259452159,1.84269320567286
144,-20.118602839461,1.58635564601619
146,-19.3302436485874,1.32910395207853
148,-18.5655901114357,1.07050032081526
150,-17.8316324439016,0.809811654688545
152,-17.1348840270552,0.546065812513147
154,-16.4810233380897,0.278113408429059
156,-15.8747529575919,0.00468761419084699
158,-15.3198045194009,-0.275542877412533
160,-14.819022036216,-0.563929116427229
162,-14.3744704432978,-0.861803398978379
164,-13.9875319397808,-1.17044238338808
166,-13.6589651575829,-1.49102566345633
168,-13.3889101109224,-1.82458329119931
170,-13.1768257889275,-2.17192640104634
172,-13.0213484884533,-2.53355648769338
174,-12.9200595292849,-2.90955081011985
176,-12.8691539224343,-3.29942382238928
178,-12.8630119200413,-3.70196778970298
180,-12.8937010674981,-4.11508054289065
