"Theta [deg]","dB(AxialRatioValue) [] - Freq='1.61GHz' Phi='90.0000000000002deg'"
-180,6.25012263226538
-178,6.3930146569221
-176,6.52081533553269
-174,6.65724452407892
-172,6.84164485163941
-170,7.13010674845349
-168,7.58976762164573
-166,8.28421000723322
-164,9.25501637182232
-162,10.5101757966835
-160,12.025160758821
-158,13.7523070005929
-156,15.6302917600094
-154,17.5882233657084
-152,19.5424595948783
-150,21.3872802382415
-148,22.9850349836883
-146,24.1689142328257
-144,24.7758286170052
-142,24.7090373371799
-140,23.9884542861761
-138,22.73931302803
-136,21.1307942747964
-134,19.3204822385892
-132,17.4351973143111
-130,15.5830699798731
-128,13.8870055787689
-126,12.5431487284984
-124,11.917343673911
-122,12.6776149408244
-120,16.1222502694555
-118,29.1597580700341
-116,19.3957891557264
-114,12.0574682998421
-112,8.37254967570095
-110,6.0448447252927
-108,4.43159466954333
-106,3.25611018240336
-104,2.37410907672684
-102,1.70174553154319
-100,1.18697675569403
-98,0.796312875390791
-96,0.508073763694923
-94,0.308403545979889
-92,0.185881890960917
-90,0.11687939145136
-88,0.056002964645805
-86,0.0385114595258346
-84,0.189773361795851
-82,0.413551972773197
-80,0.725438854305107
-78,1.14595952452588
-76,1.70475882577783
-74,2.44687390544983
-72,3.44430839871479
-70,4.82045154707754
-68,6.81011308112706
-66,9.9460632195387
-64,15.9693006127331
-62,36.39905681175
-60,14.683345115359
-58,10.2945667374676
-56,9.40868572755622
-54,10.3878209002173
-52,12.2284945117037
-50,14.4212986021335
-48,16.7439401426982
-46,19.0706045885928
-44,21.2748083043564
-42,23.1802847145382
-40,24.5539083632126
-38,25.1681706361797
-36,24.9224572575528
-34,23.9122783187777
-32,22.3617866753873
-30,20.5015577158326
-28,18.5022882553686
-26,16.4727033093061
-24,14.4828735532258
-22,12.5878771311969
-20,10.8438297659759
-18,9.31395354385949
-16,8.06228343204975
-14,7.13366449441468
-12,6.52740069952772
-10,6.18619898726409
-8,6.01704923194072
-6,5.9281001113536
-4,5.85247859572538
-2,5.75180056715779
0,5.60922803738024
2,5.4211209911952
4,5.19076074036918
6,4.9244568406816
8,4.62941021293077
10,4.31267288301887
12,3.98073101567346
14,3.63941540304654
16,3.29396648693064
18,2.9491560742593
20,2.60941100145233
22,2.27890867143505
24,1.96163027245874
26,1.66137096430123
28,1.38172129710279
30,1.12605286465418
32,0.897565218888516
34,0.699479548641598
36,0.535469828562739
38,0.410208209217041
40,0.328737924800442
42,0.291463701193932
44,0.287378366040329
46,0.298652234027477
48,0.311379347044853
50,0.318292234920591
52,0.316532136709135
54,0.305569061402491
56,0.286088695020927
58,0.259494995197597
60,0.227760046215131
62,0.193541079524309
64,0.16063093821798
66,0.134747496185901
68,0.123326145161612
70,0.130628923446709
72,0.152611344916683
74,0.181733121316268
76,0.212419274266375
78,0.241429150721523
80,0.266933423615225
82,0.287907965366445
84,0.303832249867913
86,0.314538621917182
88,0.320131173678667
90,0.32093990745777
92,0.317497341146742
94,0.310533981408904
96,0.300992260832133
98,0.290056700341432
100,0.279188786185825
102,0.27013417516782
104,0.264839884153918
106,0.265210298159856
108,0.272707016393895
110,0.28796359293592
112,0.310660594856647
114,0.339723234959352
116,0.373662941633343
118,0.410865849609237
120,0.449768712769435
122,0.488963592738507
124,0.527293711075247
126,0.563989740543907
128,0.598880215691217
130,0.632693774817774
132,0.667439332086794
134,0.706779307085264
136,0.756191322338502
138,0.822614001583908
140,0.913387686841478
142,1.03475537709481
144,1.19062882311166
146,1.38216576954573
148,1.60808890899175
150,1.86532036128577
152,2.14960444306215
154,2.45600931530423
156,2.77930850147183
158,3.11425880750257
160,3.45578046118918
162,3.79904185732482
164,4.13945843907118
166,4.47262674429213
168,4.79422571731229
170,5.09992742527955
172,5.38537106955659
174,5.64627213949669
176,5.87876750509408
178,6.08014033706245
180,6.25012263226537
