"Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
1.45,0.527863123674138,12.654467896913
1.452,0.545157103859713,12.7604420155087
1.454,0.563339161978833,12.8692586307014
1.456,0.582469645382924,12.9810555805146
1.458,0.602614112493191,13.0959796765726
1.46,0.623843876918746,13.2141874341729
1.462,0.646236618585501,13.3358458733144
1.464,0.669877071414633,13.4611333986415
1.466,0.694857798634796,13.5902407672683
1.468,0.721280068638755,13.7233721545824
1.47,0.749254846459273,13.8607463294224
1.472,0.778903918512307,14.002597951494
1.474,0.810361171320191,14.1491790055628
1.476,0.843774048592953,14.300760388866
1.478,0.879305215437511,14.4576336703467
1.48,0.917134463746926,14.6201130427753
1.482,0.957460899193566,14.7885374916072
1.484,1.00050545796052,14.9632732075821
1.486,1.04651381070877,15.1447162736286
1.488,1.09575972268582,15.3332956606402
1.49,1.14854895283155,15.5294765711531
1.492,1.20522379185552,15.733764174911
1.494,1.26616836034956,15.9467077857263
1.496,1.33181481407528,16.1689055348954
1.498,1.40265063593978,16.4010096025933
1.5,1.47922723452447,16.6437320749291
1.502,1.56217011953595,16.8978515003403
1.504,1.65219098802447,17.1642202241129
1.506,1.75010213533876,17.443772583082
1.508,1.8568337063567,17.7375340424534
1.51,1.97345443185241,18.0466313508412
1.512,2.10119666022856,18.3723037743876
1.514,2.24148670721227,18.715915440661
1.516,2.39598181998382,19.0789687693814
1.518,2.56661540679594,19.4631188768815
1.52,2.75565264392132,19.8701886946203
1.522,2.96575917245107,20.3021843084231
1.524,3.20008638248455,20.7613096572959
1.526,3.46237780965235,21.2499791558078
1.528,3.75710251343716,21.770825909044
1.53,4.08962306214266,22.3267017975876
1.532,4.4664080278588,22.9206635453906
1.534,4.89530181902258,23.5559355106572
1.536,5.3858683553364,24.2358346719013
1.538,5.94982954643509,24.9636350314518
1.54,6.60162456909808,25.7423357096276
1.542,7.35912079362409,26.5742766562544
1.544,8.24450990401116,27.4605139779502
1.546,9.28541868115643,28.3998170544545
1.548,10.5162430415261,29.3870728637629
1.55,11.9796553198322,30.410767760476
1.552,13.7280964265512,31.449052869791
1.554,15.8247657681714,32.4636899066007
1.556,18.3430186413207,33.3909758209828
1.558,21.3619489080467,34.1287634370682
1.56,24.9540319048525,34.5194988917158
1.562,29.1581353575431,34.3320634494185
1.564,33.929608155577,33.2523154133982
1.566,39.0641556836484,30.9052018003015
1.568,44.1150881005042,26.9445084079382
1.57,48.3709916006485,21.2338769905479
1.572,50.9972519397063,14.0635212836518
1.574,51.3688654624953,6.22444096648982
1.576,49.4053825270452,-1.22511814929172
1.578,45.6155660941631,-7.39517235297913
1.58,40.8094880715034,-11.8666447689319
1.582,35.7425113808269,-14.6820404319264
1.584,30.9259574714821,-16.1459624837562
1.586,26.6186425395263,-16.628998637329
1.588,22.9011048135897,-16.4579826422713
1.59,19.7545895499866,-15.8809433417621
1.592,17.1163854825656,-15.07076729135
1.594,14.9112530216024,-14.1416846309275
1.596,13.0666367916044,-13.1663213468088
1.598,11.5187121672006,-12.1893044079868
1.6,10.213848868595,-11.2369980501879
1.602,9.10804731098117,-10.3240985076341
1.604,8.16564122263772,-9.45796924891282
1.606,7.35786740633374,-8.64144296690845
1.608,6.66155167164376,-7.87461408770869
1.61,6.05799221461563,-7.15597710032938
1.612,5.53204746993354,-6.48314437577619
1.614,5.07140646367443,-5.85329475348584
1.616,4.66601149432353,-5.2634501154582
1.618,4.30760361898542,-4.71064226138625
1.62,3.98936530009133,-4.19201001914567
1.622,3.70563916301968,-3.70485220908593
1.624,3.45170609995322,-3.24665291620031
1.626,3.22360958795079,-2.81508964442294
1.628,3.0180160258627,-2.40803114372431
1.63,2.8321032077537,-2.02352925872126
1.632,2.66347084599899,-1.65980756744072
1.634,2.51006844001775,-1.31524855476148
1.636,2.37013684761332,-0.988380401060748
1.638,2.24216072913782,-0.677864036711526
1.64,2.12482965852578,-0.382480835879024
1.642,2.017006174714,-0.101121145651518
1.644,1.91769941652798,0.167226265593108
1.646,1.82604326992379,0.42348382614488
1.648,1.74127817834388,0.668493872437967
1.65,1.66273593986935,0.903026504837899
1.652,1.58982695018737,1.12778665053866
1.654,1.52202945676153,1.34342040104231
1.656,1.45888047354944,1.55052069183348
1.658,1.3999680721629,1.74963238930371
1.66,1.34492481834095,1.94125684592126
1.662,1.29342216495071,2.12585597984888
1.664,1.24516564671665,2.30385593017409
1.666,1.19989074926613,2.47565033392956
1.668,1.15735934723399,2.64160326632609
1.67,1.11735662416086,2.80205188118909
1.672,1.07968840158633,2.95730878452869
1.674,1.04417881673501,3.10766417049382
1.676,1.01066829804372,3.25338774565257
1.678,0.979011795892785,3.39473046458797
1.68,0.949077232610946,3.53192609717004
1.682,0.920744141385965,3.66519264553471
1.684,0.893902468339623,3.79473362674036
1.686,0.868451515886338,3.9207392352511
1.688,0.844299008726684,4.04338739779108
1.69,0.821360266538476,4.16284473169598
1.692,0.799557469711639,4.27926741664077
1.694,0.778819006399551,4.39280198852027
1.696,0.759078890790495,4.50358606328947
1.698,0.74027624388628,4.61174899771224
1.7,0.722354829252126,4.71741249321253
1.702,0.705262637205263,4.82069114835274
1.704,0.688951511767552,4.92169296487408
1.706,0.673376815442424,5.02051981171068
1.708,0.658497127506854,5.11726785092685
1.71,0.644273972052638,5.21202792911617
1.712,0.630671572478995,5.30488593743709
1.714,0.617656629543418,5.39592314313669
1.716,0.605198120427758,5.48521649512597
1.718,0.593267116580674,5.57283890591474
1.72,0.581836618361752,5.65885951198545
1.722,0.57088140474251,5.74334391448248
1.724,0.560377896520837,5.82635440191077
1.726,0.550304031679898,5.907950156376
1.728,0.540639151677448,5.98818744475264
1.73,0.531363897584918,6.06711979603594
1.732,0.522460115115147,6.14479816601741
1.734,0.513910767681141,6.22127109031763
1.736,0.505699856720068,6.29658482671693
1.738,0.49781234859817,6.37078348763858
1.74,0.490234107483297,6.44390916356362
1.742,0.482951833635678,6.51600203808676
1.744,0.475953006623474,6.58710049526094
1.746,0.469225833019543,6.65724121982227
1.748,0.462759198180637,6.72645929083518
1.75,0.456542621749104,6.79478826925304
